avgPriceRatio,avgPriceConv,avgPriceOrg,difference,totVolConv,totVolOrg,region
1.3147758181977713,1.3487573964497044,1.773313609467456,0.4245562130177516,92903.02644970414,2172.71301775148,Albany
1.5036261971986928,1.0688165680473378,1.6071005917159764,0.5382840236686386,512789.29881656816,11501.34526627219,Atlanta
1.282739798388873,1.344201183431952,1.7242603550295867,0.3800591715976347,773642.45816568,23481.324792899413,BaltimoreWashington
1.5057464943634868,1.0760355029585797,1.6202366863905329,0.5442011834319531,82843.43491124258,2441.6997041420127,Boise
1.3473053892215574,1.3043786982248522,1.757396449704143,0.4530177514792908,561541.0540828403,14044.654970414202,Boston
1.1946406403835448,1.3823076923076927,1.651360946745562,0.2690532544378694,130409.61319526627,5462.99272189349,BuffaloRochester
1.524462049031152,1.1054437869822487,1.685207100591715,0.5797633136094664,5938442.846508876,150205.98881656796,California
1.519096013736135,1.2750887573964507,1.9369822485207098,0.6618934911242591,203330.61396449702,7057.222840236682,Charlotte
1.2737447065940724,1.369349112426035,1.7442011834319535,0.37485207100591844,759816.2411834318,31321.85650887575,Chicago
1.3814823447150677,1.0155029585798816,1.4028994082840232,0.38739644970414155,247834.90017751485,15608.931597633133,CincinnatiDayton
1.349833518312985,1.0662721893491123,1.4392899408284017,0.3730177514792894,169267.56059171588,8207.95076923077,Columbus
1.5650471862984974,0.8464497041420116,1.3247337278106508,0.4782840236686392,1212484.7989349114,20765.417337278108,DallasFtWorth
1.2693112947658407,1.0739644970414197,1.3631952662721893,0.2892307692307696,785919.5107692308,35988.98621301774,Denver
1.2707028165306657,1.1239644970414198,1.4282248520710052,0.3042603550295855,359449.9978698225,15830.590177514794,Detroit
1.2716473898093157,1.3250295857988164,1.6849704142011834,0.3599408284023671,175372.73254437867,3394.935680473373,GrandRapids
1.2650946230099127,1.1818934911242605,1.495207100591716,0.31331360946745557,3358389.71597633,130619.45142011833,GreatLakes
1.4042963241515467,1.2588165680473373,1.7677514792899411,0.5089349112426038,238520.93278106514,8868.763550295858,HarrisburgScranton
1.5832072617246609,1.4080473372781062,2.2292307692307705,0.8211834319526643,290303.1010650886,9522.564378698225,HartfordSpringfield
1.5401606425702803,0.8250887573964498,1.2707692307692302,0.4456804733727804,1178715.5611834326,23461.171360946755,Houston
1.295482737233822,1.1448520710059173,1.4831360946745558,0.3382840236686384,174275.28065088752,4798.041420118342,Indianapolis
1.531727146539757,1.193609467455622,1.8282840236686388,0.6346745562130169,167254.63639053254,3100.4212426035515,Jacksonville
1.7265027162801558,1.0129585798816572,1.7488757396449703,0.7359171597633132,312208.6115976331,9548.231005917158,LasVegas
1.4906677978426868,0.9764497041420119,1.455562130177516,0.47911242603550397,2926096.2868639077,79208.7286982249,LosAngeles
1.328158458244111,1.1053254437869826,1.4680473372781067,0.36272189349112405,92336.24390532543,2912.2910059171586,Louisville
1.2777148787621477,1.2543195266272185,1.602662721893491,0.34834319526627255,574028.986745562,3919.0844378698234,MiamiFtLauderdale
1.3273859124552727,1.2071597633136095,1.6023668639053266,0.39520710059171704,2901591.2208284033,106393.14130177512,Midsouth
1.393328659890173,1.0128994082840241,1.4113017751479286,0.3984023668639045,202623.6242011834,8098.797278106509,Nashville
1.40455809388801,1.0852662721893493,1.5243195266272187,0.43905325443786936,266671.5463905326,3713.8771597633113,NewOrleansMobile
1.4642133693450383,1.4021301775147934,2.053017751479292,0.6508875739644988,1371263.6457396452,53198.6473372781,NewYork
1.38303771841028,1.344437869822486,1.859408284023668,0.5149704142011822,4077247.4169822503,143349.68100591714,Northeast
1.344633298901305,1.2602366863905323,1.6945562130177507,0.4343195266272184,410300.970295858,12970.592485207097,NorthernNewEngland
1.4805106217111668,1.2144378698224854,1.7979881656804728,0.5835502958579875,341870.1281656804,5234.628579881656,Orlando
1.3377404864819067,1.3963313609467447,1.867928994082841,0.47159763313609626,411122.4544378699,13959.191597633138,Philadelphia
2.362801657593238,0.7282248520710065,1.7206508875739646,0.992426035502958,1145560.9523668634,12091.784319526632,PhoenixTucson
1.1817751703255102,1.250650887573965,1.477988165680473,0.22733727810650795,105514.23029585804,5765.922426035502,Pittsburgh
1.4650454383916325,1.1655029585798824,1.7075147928994086,0.5420118343195262,1792382.5789940825,48969.66426035499,Plains
1.5183195748049305,1.0465088757396448,1.5889349112426034,0.5424260355029586,621545.5485207107,32609.54970414203,Portland
1.5346224322499762,1.2271005917159756,1.8831360946745554,0.6560355029585798,275848.37337278115,9374.890887573965,RaleighGreensboro
1.3063143989431971,1.1198224852071001,1.4628402366863902,0.34301775147929003,240739.90390532542,9146.791065088766,RichmondNorfolk
1.2771689251201213,1.0960355029585795,1.3998224852071006,0.3037869822485211,139957.1079881657,8220.470769230767,Roanoke
1.5457036692986519,1.2739644970414208,1.9691715976331357,0.6952071005917149,436761.323786982,7994.574792899409,Sacramento
1.634372038575171,1.0614792899408287,1.7348520710059172,0.6733727810650885,517136.457928994,14176.676331360952,SanDiego
1.582669828900559,1.3971597633136092,2.2112426035502954,0.8140828402366862,781326.9591124256,22401.98633136094,SanFrancisco
1.4664373514087718,1.1697633136094678,1.7153846153846166,0.5456213017751488,602666.6459763313,43571.09343195265,Seattle
1.448557121470239,1.1462130177514798,1.6603550295857996,0.5141420118343198,350582.72136094683,8907.059112426039,SouthCarolina
1.5333151841012727,0.8694082840236682,1.3330769230769224,0.4636686390532542,5876693.222248523,107209.84775147933,SouthCentral
1.4041210887814815,1.1630177514792892,1.63301775147929,0.47000000000000086,3581057.711301778,59406.2479289941,Southeast
1.590721102863202,1.1159763313609465,1.775207100591715,0.6592307692307684,88620.29284023668,3481.928934911241,Spokane
1.4130445631019497,1.1857396449704154,1.6755029585798815,0.4897633136094661,183398.672189349,6381.406686390536,StLouis
1.1923716882119542,1.3869230769230774,1.6537278106508877,0.26680473372781033,62082.79668639054,2666.7162130177526,Syracuse
1.344954941645739,1.201597633136094,1.6160946745562135,0.41449704142011945,386321.13763313595,4238.266568047337,Tampa
1.5829529072561266,0.9850887573964502,1.559349112426036,0.5742603550295857,6209234.257633135,221411.63437869836,West
2.005456480221053,0.8421301775147929,1.6888554216867468,0.8467252441719539,840158.1975739646,15271.71319277109,WestTexNewMexico
